"SiteID","SiteName","Latitude","Longitude","Prefecture"
135,"Shimoyakebe",35.7663,139.451,"Tokyo"
136,"Ternohigashi",36.3281,139.88,"Tochigi"
142,"Mamiana",35.7684,140.104,"Chiba"
158,"Ootsubo",35.258885,139.874332,"Chiba"
159,"Mukaihara",36.54,138.64,"Gunma"
162,"Kohoku New Town – Ninzakimachi",35.54,139.56,"Kanagawa"
163,"Mizuko",35.8457,139.561,"Saitama"
164,"Haneoka",35.3057,139.269,"Kanagawa"
216,"Okadaira",36.0139,140.351,"Ibaragi"
218,"Juoodoo",36.5575,140.619,"Ibaragi"
219,"Ookawazoe(3)",40.5261,140.217,"Aomori"
220,"Ookawazoe(4)",40.5239,140.216,"Aomori"
222,"Ashizawa(2)",40.5272,140.236,"Aomori"
224,"Kanbara(2)",40.7078,140.4,"Aomori"
225,"Kawaharatai(4)",40.5281,140.228,"Aomori"
226,"Shinmachino",40.7832,140.751,"Aomori"
227,"Maekawa",40.6297,140.546,"Aomori"
228,"Sasako(2)",40.4691666666667,141.466944444444,"Aomori"
229,"Yamada(4)",40.995,140.64,"Aomori"
233,"Fujisawa(2)",40.4522,141.643,"Aomori"
234,"Mizukami(4)",40.538,140.2483,"Aomori"
235,"Ookawazoe(1)",40.5291,140.2161,"Aomori"
236,"Horikirizawa(2)",40.6497,141.353,"Aomori"
237,"Shitobashitomita",40.9425,140.633,"Aomori"
238,"Ushirogata(1)",40.9408,140.6339,"Aomori"
239,"Sunakose",40.53,140.2433,"Aomori"
240,"Ookawazoe(2)",40.52444,140.2219,"Aomori"
241,"Karinba 1",42.885806,141.588806,"Hokkaido"
242,"Ishikarikouyouyama 49",43.148499,141.314124,"Hokkaido"
243,"Yonehara 4",42.564485,141.980581,"Hokkaido"
244,"Miyato 4",42.565685,141.978623,"Hokkaido"
245,"Honioigawaugan",43.310493,145.541785,"Hokkaido"
247,"Riyamunai3",42.99946,140.540623,"Hokkaido"
248,"Oomachi2",42.769097,141.819696,"Hokkaido"
251,"Kiusu4",42.88194,141.71123,"Hokkaido"
252,"Kojohama2",42.45819,141.19457,"Hokkaido"
253,"Yamakoshi2",42.22426,140.33724,"Hokkaido"
254,"Yukanboshi E2",42.87234,141.59402,"Hokkaido"
255,"Yukanboshi E11",42.87308,141.59702,"Hokkaido"
256,"Nishishimamatsu5",42.9078,141.56772,"Hokkaido"
257,"Honioi3tateanagun",43.30622,145.53906,"Hokkaido"
259,"Chipunii 2",42.86847,141.7153,"Hokkaido"
260,"C424",43.07417,141.32118,"Hokkaido"
262,"Shiratakidai30chiten",43.87433,143.16965,"Hokkaido"
263,"Karinba 3",42.88923,141.59389,"Hokkaido"
265,"Otoshibe1",42.18428,140.42395,"Hokkaido"
267,"Nodaoi1",42.22056,140.34569,"Hokkaido"
268,"Honioi2tateanagun",43.31462,145.55463,"Hokkaido"
270,"Oruika1",42.85899,141.70862,"Hokkaido"
272,"Ishikura2",42.15728,140.46915,"Hokkaido"
273,"Tsuishikari2",43.12939,141.51707,"Hokkaido"
275,"Namabuchi 2",42.38584,139.82859,"Hokkaido"
284,"Kiusu 7",42.87759,141.72736,"Hokkaido"
285,"Kiusu 5",42.87984,141.72077,"Hokkaido"
298,"N30",43.07862,141.31143,"Hokkaido"
303,"Hanaoka 2",42.46229,140.33066,"Hokkaido"
304,"Kamishirataki 7",43.8707,143.15095,"Hokkaido"
305,"Higashimachi",44.02909,142.41811,"Hokkaido"
306,"Yamasaki 4",42.33129,140.27437,"Hokkaido"
308,"Yamasaki 5",42.33515,140.27645,"Hokkaido"
310,"Nodaoi 2",42.22059,140.351,"Hokkaido"
311,"Nodaoi 4",42.22149,140.35661,"Hokkaido"
316,"Ishikura",41.76556,140.84495,"Hokkaido"
318,"Usakumai N",42.81459,141.59364,"Hokkaido"
320,"Tomino 3",42.51803,140.36179,"Hokkaido"
324,"Minamigaoka 4",43.78083,143.90863,"Hokkaido"
325,"Tateno 2",41.79336,140.61733,"Hokkaido"
326,"Umekawa 4",42.82908,141.69113,"Hokkaido"
328,"Kenomai 2",42.4625,142.17341,"Hokkaido"
329,"Shimamatsu B Chashi Shimamatsusawa 8",42.92141,141.53848,"Hokkaido"
330,"Kitakogane 2",42.40455,140.91221,"Hokkaido"
331,"Moheji 4",41.76346,140.58826,"Hokkaido"
332,"Yukanboshi E1",42.86802,141.58435,"Hokkaido"
333,"Shibetsugawaguchisagan 2",43.67068,145.11437,"Hokkaido"
335,"Yafurai 7",41.77475,140.59926,"Hokkaido"
337,"Morikawa",42.08459,140.57053,"Hokkaido"
338,"Tateno 4",41.79758,140.61649,"Hokkaido"
339,"Takasago",42.54265,140.77486,"Hokkaido"
340,"Kamicharo",43.11593,143.89723,"Hokkaido"
346,"Ishikura 1",42.14961,140.4804,"Hokkaido"
347,"Horokasawa I",43.90889,143.21414,"Hokkaido"
348,"Tenneru 1",43.00763,144.43184,"Hokkaido"
349,"Kitakami 4",43.76766,143.85033,"Hokkaido"
351,"Oohira",41.6911,140.44739,"Hokkaido"
352,"Hebinai 2",41.69369,140.45888,"Hokkaido"
353,"Minamirokugousagan",42.95079,141.71428,"Hokkaido"
354,"Tateno 6",41.78922,140.61767,"Hokkaido"
355,"Kikonai",41.68526,140.44102,"Hokkaido"
358,"Shukubaigawaono",42.83328,141.69171,"Hokkaido"
359,"Shimohororo 1",43.15259,144.33056,"Hokkaido"
360,"Satsukari 5",41.70362,140.47212,"Hokkaido"
361,"Kamaya 8",41.72604,140.53199,"Hokkaido"
362,"Toubetsugawasagan",41.75948,140.58364,"Hokkaido"
363,"Asahi",42.73615,141.90042,"Hokkaido"
364,"Miyako",42.22932,139.81626,"Hokkaido"
365,"Tsubunoshinai 2",44.23276,143.53112,"Hokkaido"
366,"Toosamuporokoshuhentateanagun",43.38052,145.75964,"Hokkaido"
367,"Onikishibe 1",42.76613,142.00333,"Hokkaido"
